Composition,Frequency,Novel_Family_ID,Known_System_Function
"(8382, 8671)",3,"[8382, 8671]",Pure_Novel_System
"(6810, 8266)",3,[8266],Fam6810=Gao_TerY__TerYA
"(8479, 10571)",3,[10571],Fam8479=Thoeris__ThsB_Global
"(5999, 7820)",3,[5999],Fam7820=AbiEii__AbiEii
"(2009, 8483)",3,[8483],Fam2009=Zorya__ZorA
"(2137, 4348)",3,[2137],Fam4348=Dnd__DndC
"(12180, 12330)",3,[12180],Fam12330=PfiAT__PfiA
"(7498, 8671)",3,[8671],Fam7498=Wadjet__JetB_I
"(338, 5209)",3,[5209],Fam338=Wadjet__JetC_II
"(2475, 7530)",3,[2475],Fam7530=Zorya__ZorB
"(1891, 6084)",3,[6084],Fam1891=Gao_Iet__IetS
"(7573, 7793)",3,[7793],Fam7573=RM_Type_II__Type_II_REases
"(7181, 7647)",3,[7181],Fam7647=AbiEii__AbiEii
"(2139, 4952)",3,[2139],Fam4952=RM_Type_II__Type_II_MTases
"(3916, 6871)",3,[3916],Fam6871=PARIS_II__AriB_DUF4435_II
"(4253, 6584)",3,[6584],Fam4253=PsyrTA__PsyrA
"(768, 1219)",3,[1219],Fam768=RM_Type_III__Type_III_REases
"(8105, 9489)",3,[9489],Fam8105=AbiEii__AbiEii
"(5447, 6531)",3,[5447],Fam6531=Zorya__ZorB
"(7803, 7803)",3,[7803],Pure_Novel_System
"(4309, 6009)",3,[4309],Fam6009=Zorya__ZorB
"(7691, 10848)",3,[10848],Fam7691=Gao_Qat__QatB
"(8384, 8436)",3,"[8384, 8436]",Pure_Novel_System
"(1608, 7706)",3,[7706],Fam1608=RM_Type_II__Type_II_MTases
"(6725, 10154, 12332)",3,[10154],Fam6725=cas1_I_II_III_IV_V_VI_1; Fam12332=cas2_I_II_III_IV_V_VI_3
"(8038, 9644)",3,[9644],Fam8038=AbiEii__AbiEii
"(257, 1397)",3,[1397],Fam257=RM_Type_III__Type_III_REases
"(6502, 7817)",3,[6502],Fam7817=AbiEii__AbiEii
"(775, 8477)",3,[8477],Fam775=Hachiman__HamB
"(8140, 8382)",3,"[8140, 8382]",Pure_Novel_System
"(8357, 8458)",3,"[8357, 8458]",Pure_Novel_System
"(11776, 12421)",3,[11776],Fam12421=PfiAT__PfiA
"(8054, 10297)",3,[10297],Fam8054=AbiEii__AbiEii
"(1751, 9333)",3,[1751],Fam9333=Zorya__ZorB
"(277, 2303, 2524)",3,[2524],Fam277=Dnd__DndC; Fam2303=Dnd__DndD
"(5639, 7751)",3,[5639],Fam7751=AbiEii__AbiEii
"(2494, 3141)",3,[2494],Fam3141=RM_Type_IV__Type_IV_REases
"(8273, 9614)",3,[9614],Fam8273=AbiEii__AbiEii
"(1482, 8128)",3,"[1482, 8128]",Pure_Novel_System
